symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,adx,range_pct,volume_ratio,atr_expansion
1000000BOBUSDT,2026-04-13 23:00,2026-04-14 13:15,2026-04-14 19:15,LONG,71.07929308127922,0.013077470342770948,0.01257,7,False,910.0,-35.31248779905195,-0.03880493164730984,0.010134196733415828,weak-trend-timeout filled=7 peak=1.0%,True,45.53349340932563,5.81761006289309,2.695000398943809,1.1459509386868274
IOUSDT,2026-04-14 00:00,2026-04-14 01:20,2026-04-14 03:20,LONG,83.65475091920554,0.10708529661468313,0.1049,1,False,220.0,-4.489554312579364,-0.020407065057178927,0.0010711403800803565,stagnation-exit filled=1 peak=0.1%,False,56.35509742161431,6.948356807511728,2.664892939825088,1.2994872406821827
TRUTHUSDT,2026-04-14 01:00,2026-04-14 03:00,2026-04-14 05:15,LONG,75.1947757024261,0.009982989211424948,0.010120495145141227,10,True,1000.0,13.774024072760863,0.013774024072760863,0.02504368013229243,profit-lock filled=10 peak=2.5% lock=0.55,True,40.89466318003068,4.5537897310513396,4.064812655881622,1.2574464730046016
MITOUSDT,2026-04-14 14:00,2026-04-14 18:55,2026-04-14 20:55,SHORT,75.50228510727784,0.035231358700467175,0.03524,3,False,550.0,-0.13490012643171734,-0.00024527295714857697,0.0037284596822952944,stagnation-exit filled=3 peak=0.4%,False,41.06311055003901,5.188945290468137,2.3678097167461845,1.5100993260962259
1000000BOBUSDT,2026-04-16 07:00,2026-04-16 11:25,2026-04-16 11:50,LONG,84.54751765897916,0.014009293567409004,0.014224182105334052,10,True,1000.0,15.338998850374683,0.015338998850374683,0.027889088818862966,profit-lock filled=10 peak=2.8% lock=0.55,True,73.94867844953332,6.060606060606057,4.574952191902479,1.5433020541071563
IOUSDT,2026-04-16 15:00,2026-04-16 15:05,2026-04-16 15:40,LONG,82.3561532563402,0.1152590464934997,0.11742657092207485,10,True,1000.0,18.805677250656366,0.018805677250656367,0.03419214045573903,profit-lock filled=10 peak=3.4% lock=0.55,True,39.07571018968184,4.749340369393142,2.197115721680651,1.453716485755031
TRUTHUSDT,2026-04-16 15:00,2026-04-17 02:15,2026-04-17 08:15,LONG,72.08126096945128,0.009912182641544798,0.009917,8,False,950.0,0.46170361240727265,0.00048600380253397123,0.013500291842316747,weak-trend-timeout filled=8 peak=1.4%,True,45.957556764012466,4.1973261477873445,2.1107094934988213,1.5070415332417872
1000000BOBUSDT,2026-04-17 05:00,2026-04-17 07:05,2026-04-17 09:05,LONG,75.78543296175731,0.015819220261540822,0.01576,3,False,550.0,-2.0589601326076896,-0.0037435638774685268,0.0027854127131913945,stagnation-exit filled=3 peak=0.3%,False,47.2886354382376,8.829300196206674,2.4318188727728764,1.2950469884537372
MITOUSDT,2026-04-17 14:00,2026-04-18 02:35,2026-04-18 06:05,LONG,71.16059450799843,0.039402117692109655,0.040038952961449346,10,True,1000.0,16.16246300049043,0.01616246300049043,0.029386296364527945,profit-lock filled=10 peak=2.9% lock=0.55,True,52.823601366313014,4.395036194415719,1.4665277543108777,1.470561231234083
IOUSDT,2026-04-17 20:00,2026-04-18 06:15,2026-04-18 07:15,LONG,70.1191035827247,0.12542131303687917,0.12793959086659565,10,True,1000.0,20.078547806113264,0.020078547806113265,0.036506450556569314,profit-lock filled=10 peak=3.7% lock=0.55,True,28.550719889193463,7.437348423605497,3.9861721626473545,1.2392909459375423
MITOUSDT,2026-04-18 06:00,2026-04-18 06:05,2026-04-18 12:05,LONG,78.9879825530856,0.0405123169318023,0.03884,4,False,670.0,-27.657078863045317,-0.041279222183649725,0.004139063892099134,weak-trend-timeout filled=4 peak=0.4%,True,62.75919743719949,4.0486835568802775,2.2577663567035406,1.418797589247143
IOUSDT,2026-04-18 09:00,2026-04-18 12:20,2026-04-18 18:20,SHORT,77.40465400687634,0.11957944209618498,0.1176,7,False,910.0,15.063561728942094,0.016553364537299005,0.01822589282890217,weak-trend-timeout filled=7 peak=1.8%,True,37.585216041692206,7.540983606557377,2.1079510250215363,1.5472485711144806
TRUTHUSDT,2026-04-19 01:00,2026-04-19 01:15,2026-04-19 04:35,LONG,71.15285175163758,0.010184153255684543,0.010347968965058043,10,True,1000.0,16.08535390824588,0.01608535390824588,0.029246098014992727,profit-lock filled=10 peak=2.9% lock=0.55,True,51.17372451528001,4.744887830057567,2.5595090348806777,1.2124977988576915
TRUTHUSDT,2026-04-23 06:00,2026-04-23 06:15,2026-04-23 11:50,LONG,70.26497369325956,0.010260903346681265,0.009234813012013138,7,False,910.0,-91.00000000000003,-0.10000000000000003,0.013361070530215624,hard-stop,True,26.614010244987025,5.288893324019551,4.241769470688914,1.6204854707335556
1000000BOBUSDT,2026-04-24 06:00,2026-04-25 15:30,2026-04-25 21:30,SHORT,78.49621727973746,0.014300685226599885,0.01431,6,False,850.0,-0.5536488122520482,-0.000651351543825939,0.010536923525846498,weak-trend-timeout filled=6 peak=1.1%,True,48.564986859619744,9.305461901550906,5.481371849693278,1.496765065897741
MITOUSDT,2026-04-24 13:00,2026-04-26 09:10,2026-04-26 12:50,LONG,88.29353846471503,0.04134369957286068,0.0422986648077873,10,True,1000.0,23.098204679135474,0.023098204679135474,0.0419967357802465,profit-lock filled=10 peak=4.2% lock=0.55,True,52.3562802370368,8.959462948618643,15.005241403887073,2.0281063870107636
IOUSDT,2026-04-25 02:00,2026-04-25 02:10,2026-04-25 08:10,LONG,80.71354373709444,0.13871942742814503,0.1274,8,False,950.0,-77.51946685555576,-0.08159943879532186,0.01716106111444329,weak-trend-timeout filled=8 peak=1.7%,True,61.13693239174288,8.667152221412959,2.8806817194525016,1.195943377737058
IOUSDT,2026-04-26 07:00,2026-04-27 05:45,2026-04-27 11:45,SHORT,70.9454618621938,0.12101212939080311,0.121,6,False,850.0,0.08519792383248902,0.00010023285156763414,0.009190230734735117,weak-trend-timeout filled=6 peak=0.9%,True,45.377891713599006,5.399061032863853,3.0529137468770555,1.174556015229042
MITOUSDT,2026-04-26 12:00,2026-04-26 12:50,2026-04-26 18:50,LONG,79.38559079783982,0.04263688003067585,0.04097,9,False,980.0,-38.312897868865065,-0.039094793743739864,0.02423066529682405,weak-trend-timeout filled=9 peak=2.4%,True,35.48602304914957,5.544794188861986,2.406603158231302,1.5339239483513265
MITOUSDT,2026-04-27 04:00,2026-04-27 04:05,2026-04-27 06:05,LONG,72.37459898055363,0.0432665457828455,0.0425,2,False,400.0,-7.086729656606148,-0.01771682414151537,0.0019288393756542424,stagnation-exit filled=2 peak=0.2%,False,60.48626709931178,7.273994887287941,1.7024098480342094,1.2898540702111576
1000000BOBUSDT,2026-04-27 09:00,2026-04-27 17:25,2026-04-27 17:40,SHORT,79.04529638833182,0.013797297764418676,0.013589783993988403,10,True,1000.0,15.040174820711789,0.015040174820711788,0.02734577240129405,profit-lock filled=10 peak=2.7% lock=0.55,True,43.101683684867055,4.131652661064428,6.247112376158802,1.5339938289932682
MITOUSDT,2026-04-28 13:00,2026-04-28 13:10,2026-04-28 19:10,LONG,70.18244575335275,0.046843397984632856,0.04585,6,False,850.0,-18.02576933498571,-0.021206787452924366,0.013163050544911886,weak-trend-timeout filled=6 peak=1.3%,True,34.868351432899374,6.295399515738502,3.790357652190828,1.1670880794944507
TRUTHUSDT,2026-04-29 09:00,2026-04-29 12:10,2026-04-29 18:10,LONG,84.69267305598937,0.00986374139180401,0.009453,5,False,770.0,-32.06398658747116,-0.04164154102268982,0.003270423150265754,weak-trend-timeout filled=5 peak=0.3%,True,48.435416108620416,4.1137945149406425,3.870555402293948,1.5734454369175581
MITOUSDT,2026-04-29 18:00,2026-04-29 18:15,2026-04-29 19:00,LONG,73.0232608907743,0.04780561749992406,0.048814527874965825,10,True,1000.0,21.104431399581145,0.021104431399581146,0.038371693453783925,profit-lock filled=10 peak=3.8% lock=0.55,True,41.09011352635311,9.980765120752299,3.573428760345583,1.3710126046429938
IOUSDT,2026-04-29 19:00,2026-04-29 21:35,2026-04-29 23:35,LONG,74.27856587187175,0.116801349122636,0.1163,1,False,220.0,-0.9443110701068423,-0.004292323045940192,0.0008446039202888635,stagnation-exit filled=1 peak=0.1%,False,43.295320634243595,4.385964912280693,3.8898013029495706,1.2795387720015676
