symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,adx,range_pct,volume_ratio,atr_expansion
TUTUSDT,2026-04-14 13:00,2026-04-15 15:30,2026-04-16 07:35,SHORT,82.51980167880194,0.010106740813463706,0.011117414894810078,5,False,770.0,-77.0000000000001,-0.10000000000000013,0.016497980559824238,hard-stop,48.69302501410447,12.348877374784117,2.342574726022997,1.3440712006703304
MITOUSDT,2026-04-14 14:00,2026-04-14 18:55,2026-04-16 14:00,SHORT,75.50228510727784,0.035155239588084405,0.03684,6,False,850.0,-40.7349335947531,-0.04792345128794483,0.007724371203145278,timeout,41.06311055003901,5.188945290468137,2.3678097167461845,1.5100993260962259
FLOCKUSDT,2026-04-15 07:00,2026-04-15 07:05,2026-04-15 12:40,LONG,78.04850989167032,0.059872217343689575,0.06011,10,True,1000.0,3.971502423995049,0.003971502423995049,0.03988131327429609,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,44.50542613934472,6.024506466984346,2.9177378264626697,1.2765624458607407
FLOCKUSDT,2026-04-16 01:00,2026-04-16 01:10,2026-04-16 07:20,LONG,78.40979483834882,0.06578155247630767,0.0592033972286769,7,False,910.0,-90.99999999999997,-0.09999999999999996,0.015026211551457912,hard-stop,39.37507272278243,7.366795366795372,7.231225789288849,1.1689566675436842
USUALUSDT,2026-04-16 01:00,2026-04-16 01:25,2026-04-16 20:00,LONG,84.67716414970526,0.013706949489175006,0.01436,10,True,1000.0,47.64375263370871,0.04764375263370871,0.05931666352656343,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,67.29053827690939,4.200442151805448,2.562292916334032,1.3438827237657895
TUTUSDT,2026-04-16 05:00,2026-04-16 06:20,2026-04-16 17:55,LONG,84.40001047542384,0.010978836177030415,0.01113,10,True,1000.0,13.768656397828803,0.013768656397828804,0.03562889696705428,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,44.98768614539372,5.914972273567468,2.23716347051034,1.5695170586537388
1000000BOBUSDT,2026-04-16 07:00,2026-04-16 11:25,2026-04-16 19:20,LONG,84.54751765897916,0.014009293567409004,0.0143,10,True,1000.0,20.750970146509797,0.020750970146509798,0.030030524420568968,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,73.94867844953332,6.060606060606057,4.574952191902479,1.5433020541071563
AVAAIUSDT,2026-04-16 07:00,2026-04-16 07:15,2026-04-17 11:25,LONG,79.0165255488267,0.009209223629986744,0.009394,10,True,1000.0,20.06427223806286,0.02006427223806286,0.05285748175646771,profit-giveback,35.45180217303387,7.280963429455308,2.412195184842768,1.3578839969952052
WALUSDT,2026-04-16 07:00,2026-04-16 08:05,2026-04-16 08:35,LONG,85.5543903594872,0.07534448576510383,0.08104,10,True,1000.0,75.59298038946966,0.07559298038946966,0.2737494857845188,profit-giveback,41.19672981796975,4.481605351170558,3.6634055622240247,1.3553430838748655
ZKJUSDT,2026-04-16 14:00,2026-04-17 07:20,2026-04-18 06:10,LONG,70.90389254518374,0.021178783586225405,0.02283,10,True,1000.0,77.96559264378807,0.07796559264378806,0.10676800225888707,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,48.011995250864295,5.320735952262563,2.1496634017319267,1.291845470178319
IOUSDT,2026-04-16 15:00,2026-04-16 15:05,2026-04-16 16:45,LONG,82.3561532563402,0.1152590464934997,0.116,10,True,1000.0,6.428593060954138,0.006428593060954138,0.04633869244095743,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,39.07571018968184,4.749340369393142,2.197115721680651,1.453716485755031
TRUTHUSDT,2026-04-16 15:00,2026-04-17 02:15,2026-04-18 15:00,LONG,72.08126096945128,0.009921492823523077,0.009708,10,True,1000.0,-21.518215788747273,-0.021518215788747273,0.02464419224264476,timeout,45.957556764012466,4.1973261477873445,2.1107094934988213,1.5070415332417872
HMSTRUSDT,2026-04-16 19:00,2026-04-16 19:20,2026-04-16 22:15,LONG,95.8394920485036,0.00016642247391222113,0.0001697,10,True,1000.0,19.694011335918475,0.019694011335918474,0.07377324587936732,profit-giveback,58.09044592427422,8.679706601466988,2.704215699399586,1.718208488828399
