symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,adx,range_pct,volume_ratio,atr_expansion
TRUTHUSDT,2026-04-14 01:00,2026-04-14 01:05,2026-04-14 03:05,LONG,75.1947757024261,0.009897907116345969,0.009956,3,False,770.0,0.09033053451672979,0.00011731238248925947,0.00011731238248925947,stagnation-exit filled=3 peak=1.2%,True,220.0,550.0,40.89466318003068,4.5537897310513396,4.064812655881622,1.2574464730046016
MITOUSDT,2026-04-14 14:00,2026-04-14 14:05,2026-04-14 16:05,HEDGED,75.50228510727784,0.03546,0.03576,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,41.06311055003901,5.188945290468137,2.3678097167461845,1.5100993260962259
1000000BOBUSDT,2026-04-16 07:00,2026-04-16 07:05,2026-04-16 09:05,HEDGED,84.54751765897916,0.01353,0.01359,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,73.94867844953332,6.060606060606057,4.574952191902479,1.5433020541071563
IOUSDT,2026-04-16 15:00,2026-04-16 15:05,2026-04-16 16:25,LONG,82.3561532563402,0.11511804041699795,0.1172,10,True,1220.0,11.313225227312195,0.00927313543222311,0.023662258589996116,group-profit-lock filled=10 peak=28.87u lock=0.60,True,220.0,1000.0,39.07571018968184,4.749340369393142,2.197115721680651,1.453716485755031
TRUTHUSDT,2026-04-16 15:00,2026-04-16 15:05,2026-04-16 17:05,HEDGED,72.08126096945128,0.009649,0.009537,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,45.957556764012466,4.1973261477873445,2.1107094934988213,1.5070415332417872
1000000BOBUSDT,2026-04-17 05:00,2026-04-17 05:05,2026-04-17 07:05,LONG,75.78543296175731,0.01552544927965322,0.01564,2,False,620.0,-2.0846693113427786,-0.0033623698570044817,0.0,failed-breakout-back-inside-range,True,220.0,400.0,47.2886354382376,8.829300196206674,2.4318188727728764,1.2950469884537372
MITOUSDT,2026-04-17 14:00,2026-04-17 14:05,2026-04-17 16:05,HEDGED,71.16059450799843,0.03868,0.03884,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,52.823601366313014,4.395036194415719,1.4665277543108777,1.470561231234083
IOUSDT,2026-04-17 20:00,2026-04-17 20:05,2026-04-17 22:05,HEDGED,70.1191035827247,0.12369999999999999,0.1198,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,28.550719889193463,7.437348423605497,3.9861721626473545,1.2392909459375423
MITOUSDT,2026-04-18 06:00,2026-04-18 06:05,2026-04-18 06:35,LONG,78.9879825530856,0.04041592073525078,0.03995,3,False,770.0,-4.6464925937632575,-0.006034405965926308,0.0,failed-breakout-back-inside-range,True,220.0,550.0,62.75919743719949,4.0486835568802775,2.2577663567035406,1.418797589247143
IOUSDT,2026-04-18 09:00,2026-04-18 09:05,2026-04-18 11:05,HEDGED,77.40465400687634,0.122,0.1215,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,37.585216041692206,7.540983606557377,2.1079510250215363,1.5472485711144806
TRUTHUSDT,2026-04-19 01:00,2026-04-19 01:05,2026-04-19 01:30,LONG,71.15285175163758,0.010155080115995724,0.01016,7,False,1130.0,-1.437229654620694,-0.001271884650106809,0.004665655788206953,group-profit-giveback,True,220.0,910.0,51.17372451528001,4.744887830057567,2.5595090348806777,1.2124977988576915
TRUTHUSDT,2026-04-23 06:00,2026-04-23 06:05,2026-04-23 06:50,LONG,70.26497369325956,0.010214450965867348,0.010271,7,False,1130.0,-0.45055085100505643,-0.0003987175672611119,0.003760123110584224,group-profit-giveback,True,220.0,910.0,26.614010244987025,5.288893324019551,4.241769470688914,1.6204854707335556
1000000BOBUSDT,2026-04-24 06:00,2026-04-24 06:05,2026-04-24 08:05,HEDGED,78.49621727973746,0.01483,0.01473,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,48.564986859619744,9.305461901550906,5.481371849693278,1.496765065897741
MITOUSDT,2026-04-24 13:00,2026-04-24 13:05,2026-04-24 15:05,HEDGED,88.29353846471503,0.03873,0.03877,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,52.3562802370368,8.959462948618643,15.005241403887073,2.0281063870107636
IOUSDT,2026-04-25 02:00,2026-04-25 02:05,2026-04-25 02:45,LONG,80.71354373709444,0.13820151153204382,0.1381,5,False,990.0,-1.8474435807531737,-0.0018661046270234077,0.002544166162414534,group-profit-giveback,True,220.0,770.0,61.13693239174288,8.667152221412959,2.8806817194525016,1.195943377737058
IOUSDT,2026-04-26 07:00,2026-04-26 07:05,2026-04-26 09:05,HEDGED,70.9454618621938,0.1278,0.1242,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,45.377891713599006,5.399061032863853,3.0529137468770555,1.174556015229042
MITOUSDT,2026-04-26 12:00,2026-04-26 12:05,2026-04-26 12:55,LONG,79.38559079783982,0.04239331038816906,0.04247,9,False,1200.0,-4.459622900545904,-0.003716352417121587,0.004891554226465308,group-profit-giveback,True,220.0,980.0,35.48602304914957,5.544794188861986,2.406603158231302,1.5339239483513265
MITOUSDT,2026-04-27 04:00,2026-04-27 04:05,2026-04-27 04:35,LONG,72.37459898055363,0.04315635162212687,0.04252,2,False,620.0,-3.2906208191172506,-0.005307452934060082,0.0,failed-breakout-back-inside-range,True,220.0,400.0,60.48626709931178,7.273994887287941,1.7024098480342094,1.2898540702111576
1000000BOBUSDT,2026-04-27 09:00,2026-04-27 09:05,2026-04-27 11:05,HEDGED,79.04529638833182,0.01428,0.0142,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,43.101683684867055,4.131652661064428,6.247112376158802,1.5339938289932682
MITOUSDT,2026-04-28 13:00,2026-04-28 13:05,2026-04-28 13:15,LONG,70.18244575335275,0.04653439084467196,0.04576,6,False,1070.0,-15.74313299839072,-0.014713208409710953,0.0013668243414451376,group-profit-giveback,True,220.0,850.0,34.868351432899374,6.295399515738502,3.790357652190828,1.1670880794944507
TRUTHUSDT,2026-04-29 09:00,2026-04-29 09:05,2026-04-29 11:05,HEDGED,84.69267305598937,0.009772,0.009776,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,48.435416108620416,4.1137945149406425,3.870555402293948,1.5734454369175581
MITOUSDT,2026-04-29 18:00,2026-04-29 18:05,2026-04-29 18:30,LONG,73.0232608907743,0.04748078373657109,0.04729,6,False,1070.0,-5.766336158165353,-0.005389099213238648,0.004806596642578609,group-profit-giveback,True,220.0,850.0,41.09011352635311,9.980765120752299,3.573428760345583,1.3710126046429938
IOUSDT,2026-04-29 19:00,2026-04-29 19:05,2026-04-29 21:05,HEDGED,74.27856587187175,0.114,0.1154,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,43.295320634243595,4.385964912280693,3.8898013029495706,1.2795387720015676
1000000BOBUSDT,2026-04-30 19:00,2026-04-30 19:05,2026-04-30 21:05,HEDGED,71.51353862642908,0.01252,0.01246,1,False,440.0,0.0,0.0,0.0,hedged-probe-timeout,True,220.0,220.0,50.23454857386994,5.03194888178914,7.3362501028902685,1.193913052749285
