symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,adx,range_pct,volume_ratio,atr_expansion
ZECUSDT,2026-04-17 15:00,2026-04-17 19:00,2026-04-19 15:00,SHORT,71.79963783211878,326.96168534248125,326.1,10,True,1000.0,2.635432165633222,0.002635432165633222,0.027317223218756157,timeout,45.515928873588436,7.559938687566876,1.56171955874865,1.5944178507102797
LABUSDT,2026-04-19 14:00,2026-04-19 14:10,2026-04-19 16:25,LONG,70.96974474300589,0.6670476022745553,0.6003428420470998,7,False,910.0,-91.0,-0.1,0.03274488604855885,hard-stop,36.185123836257304,12.433323484129835,2.158301158466724,1.2580540020481428
ZECUSDT,2026-04-19 18:00,2026-04-21 11:20,2026-04-21 18:00,LONG,84.67665194191373,333.18882936559476,316.13,4,False,670.0,-34.30311783474424,-0.051198683335439164,0.0045955041089483185,timeout,62.93624442980313,10.647625373630024,3.962831237558005,1.3403403413840165
CLUSDT,2026-04-19 20:00,2026-04-19 21:30,2026-04-21 20:00,LONG,74.46230990368235,89.52034690504505,91.77,10,True,1000.0,25.13007570604229,0.025130075706042292,0.031162223912223716,timeout,88.03772075227069,4.524531267542383,1.7694152975169952,1.444052753832449
ZECUSDT,2026-04-21 12:00,2026-04-21 16:55,2026-04-23 12:00,SHORT,83.25267746389757,314.1168047610899,321.6,10,True,1000.0,-23.82297007191855,-0.02382297007191855,0.02488502570575671,timeout,54.91988120690903,5.502109192437271,7.478738767953784,1.468048683587233
CLUSDT,2026-04-21 20:00,2026-04-22 05:25,2026-04-23 00:15,SHORT,82.02996060356597,87.70154962714649,96.47170458986115,1,False,220.0,-22.000000000000018,-0.10000000000000007,0.00035973853689722965,hard-stop,35.86869904626239,4.751007954669281,2.3043466912831088,1.6952747713146266
LABUSDT,2026-04-22 02:00,2026-04-22 02:05,2026-04-22 05:40,LONG,76.9947579179055,0.642413088975139,0.5781717800776252,4,False,670.0,-66.99999999999999,-0.09999999999999998,0.009163747012459705,hard-stop,37.58178281276845,11.583254642744729,3.201864179084468,1.1619895187562645
LABUSDT,2026-04-23 08:00,2026-04-23 08:40,2026-04-23 11:15,LONG,75.12038714154497,0.641121496221256,0.651,10,True,1000.0,15.408161849146373,0.015408161849146373,0.04441982361626476,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,65.30292219877323,7.764518695306295,2.297269810549439,1.1399926074682822
ZECUSDT,2026-04-23 14:00,2026-04-23 19:25,2026-04-23 21:55,LONG,84.83699175480639,335.83102434004593,340.81,10,True,1000.0,14.825835908812905,0.014825835908812906,0.03974908418954636,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,52.983861404541145,5.80238726790451,3.3586805825762527,1.4547468366277232
LABUSDT,2026-04-24 03:00,2026-04-24 03:40,2026-04-24 04:35,LONG,77.86899339665636,0.8968505533918386,0.9162,9,False,980.0,21.143386269075958,0.02157488394803669,0.07041245207390873,profit-giveback,82.65040544788386,19.217746643315817,3.13388460653863,1.2221055119854727
CLUSDT,2026-04-24 12:00,2026-04-24 15:40,2026-04-26 12:00,SHORT,74.87602993021169,93.12257040998058,95.34,6,False,850.0,-20.24015384474932,-0.02381194569970508,0.007115035668190453,timeout,50.667965085682575,4.524312896405921,5.249191315811818,1.3980786975366317
LABUSDT,2026-04-25 20:00,2026-04-26 08:35,2026-04-26 14:15,LONG,79.85736726521088,0.965446883097104,0.8689021947873936,3,False,550.0,-55.00000000000001,-0.10000000000000002,0.01227733716936527,hard-stop,36.8941840353616,40.33804238143289,11.673107300065448,1.734821863355177
LABUSDT,2026-04-27 16:00,2026-04-27 16:05,2026-04-27 17:30,SHORT,78.22804276761065,0.6243120873411888,0.6381,8,False,950.0,-20.980719885873746,-0.022084968300919734,0.058964239340557334,profit-giveback,61.85539475996501,17.045454545454554,2.0416801866601877,1.3203290983033462
ZECUSDT,2026-04-28 05:00,2026-04-28 06:20,2026-04-29 14:35,SHORT,71.49482722544874,334.54956422540283,326.69,10,True,1000.0,23.492974033908627,0.023492974033908626,0.030009198334028268,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,50.5370639249801,5.311269178766678,3.115274712490538,1.1159741206168838
ZECUSDT,2026-04-29 16:00,2026-04-30 02:10,2026-04-30 18:35,LONG,72.45721394073821,334.65821582117127,346.18,10,True,1000.0,34.42851134121131,0.03442851134121131,0.0431837125031206,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,69.42038298263783,4.634375000000013,1.7472807946706517,1.3671895771824831
ZECUSDT,2026-04-30 19:00,2026-04-30 19:05,2026-05-01 00:00,LONG,70.34177599336402,353.9540931991602,350.41,6,False,850.0,-8.51093200267385,-0.010012861179616295,0.007701300403682662,timeout,56.49710074933123,5.136450300219104,1.596204321368453,1.2957323922574264
