symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,strategy_group_exit,hedge_notional,trend_notional,adx,range_pct,volume_ratio,atr_expansion
TRUTHUSDT,2026-04-10 17:00,2026-04-10 17:05,2026-04-10 18:50,LONG,84.35691256852492,0.010543417874893749,0.010526,7,False,510.0,-1.5347891934555409,-0.0030093905754030215,0.0032541918692988755,group-profit-giveback,True,30.0,480.0,46.42758794760389,7.729750778816196,5.978277178632812,1.5029435149367967
TRUTHUSDT,2026-04-12 13:00,2026-04-12 13:05,2026-04-12 15:05,HEDGED,77.01138368454818,0.009529,0.009454,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,57.13906114022202,9.602266764613278,12.782863156911999,1.4856267855267526
MITOUSDT,2026-04-13 11:00,2026-04-13 11:05,2026-04-13 13:05,HEDGED,82.8187611731797,0.03615,0.03616,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,48.00961252689912,10.484094052558786,31.104561796701077,2.114961863854189
1000000BOBUSDT,2026-04-13 23:00,2026-04-13 23:05,2026-04-14 01:05,HEDGED,71.07929308127922,0.01272,0.0126,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,45.53349340932563,5.81761006289309,2.695000398943809,1.1459509386868274
IOUSDT,2026-04-14 00:00,2026-04-14 00:05,2026-04-14 02:05,HEDGED,83.65475091920554,0.1065,0.1055,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,56.35509742161431,6.948356807511728,2.664892939825088,1.2994872406821827
TRUTHUSDT,2026-04-14 01:00,2026-04-14 01:05,2026-04-14 03:05,LONG,75.1947757024261,0.009890729376313695,0.009956,2,False,100.0,0.03406917459813141,0.0003406917459813141,0.0003406917459813141,stagnation-exit filled=2 peak=0.7%,True,30.0,70.0,40.89466318003068,4.5537897310513396,4.064812655881622,1.2574464730046016
MITOUSDT,2026-04-14 14:00,2026-04-14 14:05,2026-04-14 16:05,HEDGED,75.50228510727784,0.03546,0.03576,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,41.06311055003901,5.188945290468137,2.3678097167461845,1.5100993260962259
1000000BOBUSDT,2026-04-16 07:00,2026-04-16 07:05,2026-04-16 09:05,HEDGED,84.54751765897916,0.01353,0.01359,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,73.94867844953332,6.060606060606057,4.574952191902479,1.5433020541071563
IOUSDT,2026-04-16 15:00,2026-04-16 15:05,2026-04-16 16:10,LONG,82.3561532563402,0.11695324430676167,0.1181,10,True,1030.0,8.644299229851551,0.00839252352412772,0.02206939197270885,group-profit-lock filled=10 peak=22.73u lock=0.60,True,30.0,1000.0,39.07571018968184,4.749340369393142,2.197115721680651,1.453716485755031
TRUTHUSDT,2026-04-16 15:00,2026-04-16 15:05,2026-04-16 17:05,HEDGED,72.08126096945128,0.009649,0.009537,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,45.957556764012466,4.1973261477873445,2.1107094934988213,1.5070415332417872
1000000BOBUSDT,2026-04-17 05:00,2026-04-17 05:05,2026-04-17 07:05,HEDGED,75.78543296175731,0.01529,0.01564,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,47.2886354382376,8.829300196206674,2.4318188727728764,1.2950469884537372
MITOUSDT,2026-04-17 14:00,2026-04-17 14:05,2026-04-17 16:05,HEDGED,71.16059450799843,0.03868,0.03884,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,52.823601366313014,4.395036194415719,1.4665277543108777,1.470561231234083
IOUSDT,2026-04-17 20:00,2026-04-17 20:05,2026-04-17 22:05,HEDGED,70.1191035827247,0.1237,0.1198,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,28.550719889193463,7.437348423605497,3.9861721626473545,1.2392909459375423
MITOUSDT,2026-04-18 06:00,2026-04-18 06:05,2026-04-18 07:45,LONG,78.9879825530856,0.04051572373781725,0.04029,4,False,210.0,-1.0251819689047534,-0.004881818899546445,4.8265258014457e-05,failed-breakout-back-inside-range,True,30.0,180.0,62.75919743719949,4.0486835568802775,2.2577663567035406,1.418797589247143
IOUSDT,2026-04-18 09:00,2026-04-18 09:05,2026-04-18 11:05,HEDGED,77.40465400687634,0.122,0.1215,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,37.585216041692206,7.540983606557377,2.1079510250215363,1.5472485711144806
TRUTHUSDT,2026-04-19 01:00,2026-04-19 01:05,2026-04-19 01:30,LONG,71.15285175163758,0.01020537325256581,0.01016,7,False,510.0,-2.390192494843057,-0.004686651950672661,0.0038654113006417194,group-profit-giveback,True,30.0,480.0,51.17372451528001,4.744887830057567,2.5595090348806777,1.2124977988576915
TRUTHUSDT,2026-04-23 06:00,2026-04-23 06:05,2026-04-23 06:50,LONG,70.26497369325956,0.010298207338379207,0.010271,7,False,510.0,-2.0165638112366606,-0.003954046688699335,0.0020325098894471935,group-profit-giveback,True,30.0,480.0,26.614010244987025,5.288893324019551,4.241769470688914,1.6204854707335556
1000000BOBUSDT,2026-04-24 06:00,2026-04-24 06:05,2026-04-24 08:05,HEDGED,78.49621727973746,0.01483,0.01473,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,48.564986859619744,9.305461901550906,5.481371849693278,1.496765065897741
MITOUSDT,2026-04-24 13:00,2026-04-24 13:05,2026-04-24 15:05,HEDGED,88.29353846471503,0.03873,0.03877,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,52.3562802370368,8.959462948618643,15.005241403887073,2.0281063870107636
IOUSDT,2026-04-25 02:00,2026-04-25 02:05,2026-04-25 02:45,LONG,80.71354373709444,0.13857538876635792,0.1381,5,False,290.0,-1.0667407694384317,-0.0036784164463394193,0.0026095454292034263,group-profit-giveback,True,30.0,260.0,61.13693239174288,8.667152221412959,2.8806817194525016,1.195943377737058
IOUSDT,2026-04-26 07:00,2026-04-26 07:05,2026-04-26 09:05,HEDGED,70.9454618621938,0.1278,0.1242,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,45.377891713599006,5.399061032863853,3.0529137468770555,1.174556015229042
MITOUSDT,2026-04-26 12:00,2026-04-26 12:05,2026-04-26 12:55,LONG,79.38559079783982,0.04302216569357125,0.04247,9,False,830.0,-11.117436314308328,-0.01339450158350401,0.0027106864338128193,group-profit-giveback,True,30.0,800.0,35.48602304914957,5.544794188861986,2.406603158231302,1.5339239483513265
MITOUSDT,2026-04-27 04:00,2026-04-27 04:05,2026-04-27 06:05,HEDGED,72.37459898055363,0.04303,0.0425,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,60.48626709931178,7.273994887287941,1.7024098480342094,1.2898540702111576
1000000BOBUSDT,2026-04-27 09:00,2026-04-27 09:05,2026-04-27 11:05,HEDGED,79.04529638833182,0.01428,0.0142,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,43.101683684867055,4.131652661064428,6.247112376158802,1.5339938289932682
MITOUSDT,2026-04-28 13:00,2026-04-28 13:05,2026-04-28 13:15,LONG,70.18244575335275,0.04693465756419085,0.04576,6,False,390.0,-9.227820912408779,-0.023661079262586614,0.0009632418357682041,group-profit-giveback,True,30.0,360.0,34.868351432899374,6.295399515738502,3.790357652190828,1.1670880794944507
TRUTHUSDT,2026-04-29 09:00,2026-04-29 09:05,2026-04-29 11:05,HEDGED,84.69267305598937,0.009772,0.009776,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,48.435416108620416,4.1137945149406425,3.870555402293948,1.5734454369175581
MITOUSDT,2026-04-29 18:00,2026-04-29 18:05,2026-04-29 18:30,LONG,73.0232608907743,0.047776902254023354,0.04729,6,False,390.0,-3.9894004191208854,-0.010229231843899705,0.0045389347053698985,group-profit-giveback,True,30.0,360.0,41.09011352635311,9.980765120752299,3.573428760345583,1.3710126046429938
IOUSDT,2026-04-29 19:00,2026-04-29 19:05,2026-04-29 21:05,HEDGED,74.27856587187175,0.114,0.1154,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,43.295320634243595,4.385964912280693,3.8898013029495706,1.2795387720015676
1000000BOBUSDT,2026-04-30 19:00,2026-04-30 19:05,2026-04-30 21:05,HEDGED,71.51353862642908,0.01252,0.01246,1,False,60.0,0.0,0.0,0.0,hedged-probe-timeout,True,30.0,30.0,50.23454857386994,5.03194888178914,7.3362501028902685,1.193913052749285
